Rowno,Word,Count,Row,Root
36,अद्वितीय,29,"3,6,13,14,15,20,21,22,23,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,50,51,53,54",अद्वितीय
37,चायखाने,5,"3,28,31,32,33",
38,दार्शनिक,29,"3,5,6,12,15,22,24,27,28,41,42,46,48,51,52,53,54,55,4,13,14,17,21,23,26,33,43,44,49",दार्शनिक
39,मछुआरों,6,",3,20,16,23,35,51",मछुआरा
40,बाधाहीन,13,"3,12,13,19,21,22,28,34,36,37,39,43,44",बाधाहीन
41,महाभिनिष्क्रमण,35,"3,4,5,7,9,10,13,17,19,20,21,22,23,24,27,28,30,32,33,34,35,36,37,38,39,40,41,42,44,45,46,49,52,54,55",
42,सुकुमार,11,"3,10,12,13,18,19,23,28,42,43,51",सुकुमार
43,जकड़,2,"3,23",जकड़
44,भभूत,22,"3,4,12,14,17,19,21,22,23,24,25,28,31,32,33,40,41,42,43,44,51,53",भभूत
45,वल्लरियों,28,"3,4,5,7,12,14,15,17,19,20,21,22,23,26,27,28,30,32,35,37,38,42,43,44,49,52,54,55",वल्लरि
46,मुग्ध,9,"3,19,23,24,28,41,43,44,49",मुग्ध
47,मूसलाधार,6,"3,16,23,24,35,38",मूसलाधार
48,घेर-घुमे,1,3,
50,नाममात्र,10,"3,12,14,20,22,23,24,35,38,53",नाममात्र
52,आकलन,17,"4,12,14,19,20,23,24,26,28,34,37,38,41,42,43,45,52",आकलन
53,समानान्तर,17,"4,5,13,15,19,22,23,24,26,28,30,33,35,44,49,53,54",समानान्तर
55,अभिन्न,6,"4,23,24,37,43,44",अभिन्न
56,बिलखने,23,"4,7,13,17,19,20,21,22,23,26,30,33,37,38,39,40,41,42,43,44,46,49,54",
57,सहसा,4,"4,19,23,37",सहसा
58,अंधड़,2,"4,28",अंधड़
59,एहतियात,11,"4,5,12,19,21,23,36,37,39,43,55",एहतियात
60,तरतीबी,23,"4,5,10,14,16,17,21,22,23,24,28,30,34,37,38,40,42,43,44,46,49,51,52",तरतीब
61,चितेरे,9,"4,12,15,17,23,34,43,49,55",चितेरा
62,वैकल्पिक,23,"5,6,12,13,14,15,17,18,21,22,23,26,27,28,32,35,37,40,48,49,52,54,55",वैकल्पिक
63,हहराता,19,"5,10,12,14,15,19,20,22,23,27,28,30,32,33,36,37,38,44,49",
64,संचालित,6,"5,12,17,31,43,51",संचालित
65,बंधुआ,18,"5,13,14,17,20,23,26,27,28,32,33,36,37,38,39,42,44,55",बंधुआ
66,खूँखार,9,"5,12,15,16,43,46,49,50,55",खूँखार
67,विचरण,8,"5,15,19,22,23,27,32,42",विचरण
68,छिटक,7,"5,17,23,28,40,46,51",
69,काकली,11,"5,14,17,19,23,28,32,37,39,40,43",
70,दूभर,8,"5,7,15,21,23,30,32,40",दूभर
71,फुहारे,8,"5,17,23,37,39,40,43,51",फुहारा
72,उत्पादन,7,"6,15,22,23,24,28,46",उत्पादन
73,ठेकेदार,5,",6,12,51,37,46",ठेकेदार
74,इक्नॉमिक्स,3,"6,20,35",
75,की,2,"6,23",की
76,छाँह,2,"6,23",छाँह
77,विज्ञापन,7,"7,12,15,23,33,46,50",विज्ञापन
78,अनुपम,6,"7,12,15,22,27,28",अनुपम
80,पूंजी,7,"7,16,22,31,43,44,48",पूंजी
81,हृदय,1,7,हृदय
82,किलोल,16,"7,17,19,23,25,30,33,34,37,38,39,40,44,49,52,54",किलोल
83,व्यस्तताएँ,10,"7,13,15,20,23,35,37,38,46,54",व्यस्तता
84,गतिविधियों,5,"7,23,35,38,46",
85,दल,2,"7,23",दल
86,ऋतु,4,"7,19,23,37",ऋतु
89,तरकारी,7,"9,17,23,30,37,41,49",तरकारी
91,नितान्त,8,"10,15,19,22,23,42,43,49",नितान्त
93,अभियान,4,"12,23,24,42",अभियान
94,प्रचार-प्रसार,7,"12,14,20,23,25,38,44",प्रचार-प्रसार
95,भरूच,1,12,
96,अंकलेश्वर,4,"12,23,26,35",
97,फैक्टरियाँ,2,"12,55",फैक्टरी
98,हजीरा,1,12,
99,पवन,1,12,पवन
100,कुएँ,1,12,कुआँ
101,केन्द्रीय,3,"12,23,32",केन्द्रीय
102,उपलब्धि,3,"12,33,46",उपलब्धि
104,फौजदारी,13,"12,13,14,19,23,27,30,34,36,40,42,43,52",फौजदारी
105,बँधे-बँधाये,3,"12,14,50",
106,खुलाव,6,"12,13,23,28,33,37",
107,झाँका,3,"12,23,44",
109,मँडराते,3,"12,23,26",मँडरा
110,इर्द-गिर्द,2,"12,23",इर्द-गिर्द
111,जग्गन,9,"12,21,22,23,24,25,27,28,43",
112,विश्वासपात्र,10,"12,19,20,22,23,24,37,43,44,46",विश्वासपात्र
113,अनुशासनात्मक,13,"12,21,23,24,27,35,38,40,43,49,51,53,55",अनुशासनात्मक
114,स्मृतियाँ,3,"12,19,35",स्मृति
116,चुटकी,1,13,चुटकी
117,आश्रम,2,"13,23",आश्रम
118,यात्रा,3,"13,23,53",यात्रा
119,पत्थरों,2,"13,23",पत्थर
120,जिन्दगी,3,"13,23,53",जिन्दगी
121,अद्भुत,4,"13,19,23,43",अद्भुत
122,सार्वजनिक,3,"13,23,54",सार्वजनिक
123,मुरझाए,5,"13,16,23,44,53",
124,हु,1,13,
126,वार्ता,2,"14,23",वार्ता
127,बेधड़क,5,"14,23,35,38,54",बेधड़क
128,कंठ,4,"14,23,28,41",कंठ
129,जलाश्य,12,"14,17,19,23,24,26,35,37,43,49,51,55",
130,ढेले,2,"14,23",ढेला
131,कार्यवाही,2,"14,23",कार्यवाही
132,प्रकृति,2,"14,23",प्रकृति
133,उत्पाद,7,"15,22,23,28,41,43,55",उत्पाद
134,अनुभूति,13,"15,17,18,19,22,23,26,42,44,48,50,52,54",अनुभूति
135,घसीटना,1,15,घसीटना
136,उपन्यासों,6,"15,17,19,23,36,48",उपन्यास
137,भौंचक्का,15,"15,27,28,33,43,50,53,55,12,14,16,23,44,1,35",भौंचक्का
138,सर्वोत्कृष्ट,10,"15,21,23,24,33,40,43,51,52,53",सर्वोत्कृष्ट
139,पद्मिनी,10,"15,19,20,21,23,28,31,35,36,41",पद्मिनी
140,सिलसिला,3,"15,20,23",सिलसिला
141,छनकर,2,"15,27",छन
142,विघटन,11,"15,17,19,23,30,34,42,43,44,52",विघटन
143,बांधकर,3,"16,37,40",बाँध
145,गेसू,7,"16,23,28,30,43,49,52",
146,व्याकुल,8,"16,23,25,41,42,44,46,54",व्याकुल
147,ताक,2,"16,23",ताक
148,नौबत,2,"16,23",नौबत
149,कुंभलगढ़,5,"16,23,24,26,28",कुंभलगढ़
150,सन्नाटा,4,"16,23,24,37",सन्नाटा
151,मदनजी,2,"16,23",
152,सून,3,"17,28,40",
153,द्वीप,1,17,द्वीप
154,भड़,2,"17,23",
155,गिर्द,1,17,
156,विकल,4,"17,23,33,52",विकल
157,किवाड़,13,"17,18,19,23,26,28,33,42,43,44,49,51,55",किवाड़
158,दर्शन,2,"18,37",दर्शन
160,घुमेर,2,"18,54",
162,मालिन,4,"19,23,39,49",मालिन
163,रस्सियाँ,8,",19,23,35,55,23,28,35,55",रस्सी
164,ऐंठनों,10,"19,23,26,32,33,37,40,42,49,52",
165,सुस्ता,2,"19,23",
166,तेन्दुए,4,"19,44,3,23",
167,प्रतिध्वनित,8,"19,30,34,49,51,21,23,40",प्रतिध्वनित
168,अनुयायी,6,"19,23,30,34,43,54",अनुयायी
171,प्रथा,3,"20,38,43",प्रथा
172,कल्पनाएँ,3,",20,23,23",कल्पना
173,इंजीनियरिंग,1,20,इंजीनियरिंग
174,इठलाने,8,"20,23,25,26,30,38,44,55",
175,राजकुमार,2,"20,23",राजकुमार
176,सौन्दर्य,3,"20,23,53",सौन्दर्य
177,बाल-स्मृतियाँ,5,"20,21,23,37,46",
178,सब,1,21,सब
179,भुगतान,3,"21,25,44",भुगतान
180,पुरखिन,1,21,
182,ब्यौंड़े,1,22,
183,तालमेल,2,"23,28",तालमेल
184,राजकोट,1,23,राजकोट
185,अरब,1,23,अरब
186,महासागर,1,23,महासागर
187,व्यवस्था,2,"23,50",व्यवस्था
188,मानवता,1,23,मानवता
189,स्थापित,1,23,स्थापित
190,कलकत्ता,3,"23,24,26",कलकत्ता
191,मातृत्व,3,"23,40,53",मातृत्व
192,किस्मत,1,23,किस्मत
194,उसको,1,23,
195,कॉलेज,1,23,कॉलेज
196,भी,1,23,भी
197,ऐसा,1,23,ऐसा
198,मिला,1,23,मिल
199,जिसमे,1,23,
200,खिड़कियों,1,23,
201,आम,1,23,आम
202,शाखे,1,23,
203,करती,6,",23,23,23,23,23,23",कर
204,थीं,1,23,
205,इसलिए,1,23,इसलिए
206,हमेशा,1,23,हमेशा
207,जब,1,23,जब
208,कभी,1,23,कभी
209,मौका,1,23,मौका
210,मिलता,1,23,मिल	
211,था,1,23,
212,क्लास,1,23,क्लास
213,भाग,1,23,भाग
215,घास,1,23,घास
216,पर,2,"23,50",पर
217,लेटकर,3,",23,23,23",लेट
218,सपने,1,23,सपना
219,देखने,1,23,
220,आदी,1,23,आदी
221,हो,1,23,
222,गयी,3,",23,23,23",गया
223,थी,1,23,
224,के,2,"23,28",
225,इस,1,23,
226,और,3,"23,28,46",और
227,उसके,1,23,
228,बाद,1,23,बाद
229,मे,1,23,मे
230,जाकर,6,",23,23,23,23,23,23",जा
231,ध्यान-योग,1,23,
232,साधना,1,23,साधना
233,उसकी,1,23,
234,एकमात्र,1,23,एकमात्र
235,साथिन,1,23,
237,सुधा,2,",23,23",सुधा
238,घनी,1,23,घना
239,हरी,1,23,हर
240,दोनों,1,23,दोन
241,सिर,1,23,सिर
242,नीचे,1,23,नीचा
243,हाथ,1,23,हाथ
244,रखकर,1,23,
246,रहतीं,1,23,
247,दुनिया-भर,1,23,
248,बाते,1,23,
250,बातों,1,23,बात
251,छोटी,2,",23,23",छोटा
252,बड़ी,1,23,बड़ी
253,किस,1,23,
254,तरह,1,23,तरह
255,यह,1,23,
256,वही,1,23,
257,समझ,1,23,समझ
258,सकता,1,23,
260,जिसने,1,23,
261,दो,1,23,दो
262,सहेलियों,2,"23,28",सहेली
263,एकान्त,2,"23,53",एकान्त
264,सुनी,1,23,
265,हो,1,23,
266,गालिब,1,23,गालिब
267,शायरी,1,23,शायरी
268,लेकर,1,23,
269,उनके,1,23,
271,भाई,1,23,भाई
272,हसरत,1,23,हसरत
273,ने,1,23,
274,एक,1,23,एक
275,कुत्ते,1,23,कुत्ता
276,का,1,23,
277,पिल्ला,1,23,पिल्ला
278,पाला,1,23,पाला
279,सुनाया,1,23,सुना
280,शरत,1,23,शरत
281,कि,1,23,
282,कड़ा,1,23,कड़ा
283,बनवाया,1,23,
285,बताया,1,23,बताया
286,अपने-अपने,1,23,
287,मन,1,23,मन
288,एक-दूसरे,1,23,
289,को,1,23,कै
290,बता,1,23,
291,डालती,2,",23,23",डाल
292,जितना,1,23,जितना
293,भावुक,1,23,भावुक
294,प्यारा,1,23,प्यारा
295,अनजान,1,23,अनजान
296,उतनी,1,23,
297,ही,1,23,ही
298,कहा,1,23,कहा
299,इतने,1,23,
300,दिनों,2,",23,23",दिन
301,हम,1,23,
302,जंगलों,2,",23,23",जंगल
303,मैदानों,1,23,मैदान
304,घूम,1,23,
305,रहे,1,23,
307,जैसे-तैसे,1,23,जैसे-तैसे
308,तो,1,23,त
309,नगर,1,23,नगर
310,आया,1,23,आया
311,तुम,1,23,
312,कहते,1,23,
313,इससे,1,23,
314,बच,1,23,बच
315,निकल,2,",23,23",निकल
317,नहीं,1,23,नहीं
319,इच्छा,1,23,इच्छा
320,आगे,1,23,आगा
321,वजीर,2,"23,32",वजीर
322,लड़का,1,23,लड़का
323,झुक,1,23,
325,नगरी,1,23,नगरी
326,प्रवेश,1,23,प्रवेश
328,रह,1,23,
330,माजरा,2,"23,51",माजरा
331,क्या,1,23,
333,उसने,1,23,
334,बुढ़िया,2,"23,25",बुढ़िया
335,बाँहों,2,"23,26",बाँह
336,अपने,2,"23,50",
337,छुड़ाने,1,23,
338,कोशिश,1,23,कोशिश
339,उसे,1,23,
340,इतना,1,23,इतना
341,रखा,1,23,
342,वह,1,23,
343,छुड़ा,1,23,
345,फिर,1,23,फिर
347,बाबा,1,23,बाबा
348,कई,1,23,कई
350,उनकी,1,23,
351,राह,1,23,राह
352,देख,1,23,
354,इतनी,1,23,
355,देर,1,23,देर
356,कैसे,1,23,कैसे
358,सोच,1,23,सोच
359,उनका,1,23,
360,उठता,1,23,
362,उन्होंने,1,23,
363,ममता,1,23,ममता
364,स्वागत,1,23,स्वागत
366,कक्ष,1,23,कक्ष
367,उन्हे,1,23,
369,उस,1,23,
370,कोई,1,23,कोई
371,दीवार,1,23,दीवार
372,हरी-भरी,1,23,
373,लिपट,1,23,
374,निर्माण,2,"23,37",निर्माण
375,सुरीला,2,"23,46",सुरीला
376,गीत,1,23,गीत
377,समाप्त,1,23,समाप्त
378,हुआ,1,23,
379,देखा,1,23,
380,भाव,2,"23,43",भाव
381,रही,1,23,
383,हँसने,1,23,
384,लगा,1,23,लगा
386,लोक,1,23,लोक
387,बड़े,1,23,बड़ा
388,आनंद,1,23,आनंद
389,बढ़ती,1,23,बढ़ती
391,सूर्य,1,23,सूर्य
392,पैर,1,23,पैर
393,साथ,1,23,साथ
394,चलते,3,",23,23,23",चल
396,रास्ते,1,23,रास्ता
397,जिसके,1,23,
398,निर्मल,1,23,निर्मल
399,जल,1,23,जल
400,पक्षी,1,23,पक्षी
401,शाम,2,",23,23",शाम
402,मौसम,1,23,मौसम
403,दिया,1,23,दिया
404,वरना,1,23,वर
406,थोड़ी,1,23,
407,पहले,1,23,पहला
408,धूप,1,23,धूप
409,खाना,1,23,खाना
410,खाया,1,23,खाया
411,खा,1,23,
412,अभी,1,23,अभी
413,कमरे,1,23,कमरा
415,थे,1,23,
417,घर,2,",23,23",घर
418,सारे,1,23,
419,खुले,1,23,खुला
420,खिड़की,1,23,
421,दरवाजे,2,",23,23",दरवाजा
423,हुए,1,23,
424,आप,1,23,आप
425,बंद,1,23,बंद
426,होने,1,23,
427,लगे,1,23,
428,खुलने,1,23,
430,कहीं,1,23,कहीं
431,गिरी,1,23,गिरी
432,गिरे,1,23,गिर
433,जैसे,1,23,जैसे
434,धरती,1,23,धरती
435,हिल,1,23,
436,उठी,1,23,
437,दीवारे,2,"23,50",
438,काँपने,1,23,काँप
439,लगी,1,23,
441,आँगन,1,23,आँगन
442,लान,1,23,
443,बड़े,1,23,
444,ओलों,2,"23,37",ओला
445,बर्फ,1,23,बर्फ
446,पट,1,23,पट
448,रेलिंग,2,"23,53",रेलिंग
449,टूट,1,23,टूट
450,दूर,1,23,दूर
453,धड़ाम,1,23,
454,जो,1,23,
455,बारिश,1,23,बारिश
456,शुरू,1,23,शुरू
457,हुई,1,23,
458,पानी,1,23,पानी
459,बूँदे,1,23,बूँद
460,हों,1,23,
461,जिन्हे,1,23,
462,पकड़,1,23,
463,चाहे,1,23,चाह
464,वहाँ,1,23,वहाँ
465,तक,1,23,तक
468,जहाँ,1,23,जहाँ
469,ये,1,23,
470,छोड़ी,1,23,
471,या,1,23,
472,गिराई,2,"23,26",गिरा
473,घराने,1,23,घराना
474,सबके,1,23,
476,नीम,1,23,नीम
477,पेड़,1,23,
479,अकेले,1,23,अकेला
480,जिनके,1,23,
481,सामने,1,23,सामना
482,लगने,1,23,
483,पकने,1,23,
484,जिसकी,1,23,
485,शायद,1,23,शायद
486,आती,1,23,आ
487,लड़के,1,23,
488,बच्चे,2,",23,23",बच्चा
489,छिपाए,1,23,छिपा
490,रहते,1,23,
491,तब,1,23,तब
492,खटिया,1,23,खटिया
494,पड़े,1,23,
495,गर्मी,1,23,गर्मी
496,बर्दाश्त,1,23,बर्दाश्त
497,लायक,1,23,लायक
498,रहती,1,23,
500,भर,2,",23,23",भर
501,चटनी-अचार,2,"23,50",
502,काम,1,23,काम
503,लाख,1,23,लाख
504,बावजूद,1,23,बावजूद
505,उसी,1,23,
506,चलता,1,23,चलता
507,इधर,1,23,इधर
508,उधर,1,23,उधर
509,पकड़ने,1,23,
510,घात,1,23,घात
511,पकड़ते,1,23,
512,तीन,1,23,तीन
513,पा,1,23,पा
516,डेढ़,1,23,
517,महीने,1,23,महीना
519,जाती,1,23,जाती
520,चुप,1,23,चुप
522,मैं,1,23,
523,अकसर,1,23,अकसर
524,झूले,1,23,झूल
526,गोल-गोल,1,23,गोल-गोल
527,घुमा,1,23,घुमा
528,छोड़,1,23,
530,खुलतीं,1,23,
531,बँधतीं,3,"23,25,50",
532,खत्म,1,23,खत्म
534,घूमेती,1,23,
536,घेर-घुमेर,2,"23,36",
537,वाले,1,23,
538,सचमुच,1,23,सचमुच
539,किसी,1,23,
540,रोक,1,23,रोक
542,ठीक,1,23,ठीक
543,रहस्यमय,1,23,रहस्यमय
544,यहाँ,1,23,यहाँ
545,सुबहों,1,23,
547,घनेरा,2,"23,37",घनेरा
548,अन्तर,1,23,अन्तर
549,सुबह,1,23,सुबह
550,पंछियों,1,23,पंछी
551,गूँजता,1,23,गूँज
552,दोपहर,1,23,दोपहर
553,यही,1,23,
554,लगता,1,23,
555,लौटने,1,23,लौट
556,विविध,3,"23,38,50",विविध
557,रात,1,23,रात
558,देने,1,23,देना
559,वाली,1,23,वाली
560,उदास,1,23,उदास
561,शान्ति,1,23,शान्ति
563,जैसी,1,23,
564,मैंने,1,23,
565,देखी,1,23,
566,कुशल,1,23,कुशल
568,समा,1,23,समा
570,समय,1,23,समय
571,पूरी,1,23,पूरी
572,बिछने,1,23,
573,चारपाइयों,4,"23,28,36,46",चारपाई
574,कतारे,1,23,कतारा
575,गायब,1,23,गायब
576,रोज,1,23,रोज
577,जिस,1,23,
578,गली,1,23,गली
579,आधी,1,23,
580,बिना,1,23,बिना
581,टकराए,1,23,
583,आज,1,23,आज
584,चौड़ी,1,23,चौड़ा
585,सड़क,1,23,सड़क
586,लग,1,23,
587,रोशनी,3,"23,25,50",रोशनी
589,कारण,1,23,कारण
590,उनसे,1,23,
591,पड़ने,1,23,
592,वाला,1,23,
593,प्रकाश,2,"23,40",प्रकाश
594,छन-छनकर,2,"23,43",
595,पड़,1,23,
596,रहा,1,23,
597,अँधेरे,1,23,अँधेरा
598,बढ़ा,1,23,
599,इसका,1,23,
600,खूब,1,23,खूब
601,अंदाज,1,23,अंदाज
602,राव,1,23,राव
603,साहब,1,23,साहब
604,परेशान,1,23,परेशान
606,कुछ,1,23,कुछ
608,अन्य,1,23,अन्य
609,वरिष्ठ,2,"23,43",वरिष्ठ
610,मंत्रियों,2,"23,40",मंत्री
611,वे,1,23,वे
612,कार्यालय,2,"23,37",कार्यालय
613,बैठे,1,23,
614,ओर,1,23,ओर
615,मदन,1,23,मदन
616,जी,1,23,जी
617,सुझाव,3,"23,25,50",सुझाव
618,सहमत,1,23,सहमत
620,मतलब,1,23,मतलब
622,याने,1,23,
624,गांधी,1,23,गांधी
625,नेहरू,1,23,नेहरू
626,सत्ता,1,23,सत्ता
627,छोड़,1,23,
628,सकते,1,23,
629,महिलाओं,1,23,महिला
630,जाग,1,23,
631,उठती,1,23,
633,मानो,1,23,मान
634,चिंताओं,2,"23,50",चिंता
635,ह्रदय,1,23,
636,धो,1,23,
637,हरा,1,23,हरा
638,देती,1,23,
639,दिल,1,23,दिल
640,उमंगों,3,"23,54,55",उमंग
642,घानी,3,"23,24,25",घानी
643,साडियों,1,23,
644,हरियाली,1,23,हरियाली
645,नाता,1,23,नाता
646,जोड़ा,1,23,जोड़ा
647,इसी,1,23,
648,आकर,1,23,आकर
649,पास,1,23,पास
650,खडा,1,23,
652,मुकाम,1,25,मुकाम
653,बिन,2,"25,28",
654,बजाय,1,25,बजाय
655,किस्सा,2,"25,35",किस्सा
656,लखनऊ,1,25,लखनऊ
657,बीच,1,28,बीच
658,बैठाना,2,"28,50",बैठाना
659,कार्य,1,28,कार्य
661,बनावट,1,28,बनावट
662,भूमिका,4,"30,42,50,51",भूमिका
663,संयोज,1,31,
666,मार्केटिंग,2,"35,53",मार्केटिंग
667,बुद्धि,1,35,बुद्धि
670,ग्राम-देवता,1,37,
671,नगर-देवता,1,37,
672,शान्त,1,37,शान्त
673,स्नेह,1,37,स्नेह
676,एहतिया,1,40,
678,चन्दर,1,43,
679,बिखरी,1,44,बिखरा
689,देकर,1,50,
690,ठहराया,2,"23,50",ठहराया
694,मान्य,1,52,मान्य
695,चमकदार,1,55,चमकदार
