length,syllables,consonants,vowels,consonantconjuncts,senses,synonyms,hypernyms,hyponyms,complex
8,2,4,4,2,1,15,0,0,1
8,3,5,3,1,1,4,0,0,1
8,3,5,3,1,1,8,15,0,1
5,3,4,1,0,1,4,25,0,1
9,5,5,4,0,1,3,15,0,1
9,4,6,3,1,1,4,0,0,1
7,2,5,2,2,2,40,35,0,1
10,3,6,4,2,0,0,0,0,1
9,3,6,3,3,2,28,0,0,1
7,3,4,3,1,6,58,126,0,1
4,2,3,1,0,1,5,5,0,1
6,3,4,2,0,1,21,6,0,1
6,3,4,2,0,1,8,9,1,1
12,6,7,5,1,1,1,0,0,1
6,4,4,2,0,0,0,0,0,1
6,3,3,3,0,2,2,14,0,1
4,3,3,1,0,4,41,32,26,1
16,6,8,8,3,0,0,0,0,1
8,3,4,4,1,1,11,0,0,1
7,4,4,3,0,4,19,38,0,1
12,5,7,5,2,1,6,15,0,1
5,2,2,3,0,1,4,0,0,1
11,5,7,4,2,1,4,0,0,1
7,3,4,3,0,1,1,54,0,1
12,3,7,5,3,1,3,9,0,1
7,2,4,3,1,1,18,0,0,1
6,2,4,2,1,1,6,0,0,1
4,2,3,1,0,2,3,30,0,1
7,4,4,3,0,4,27,22,32,1
4,2,1,2,0,0,0,0,0,1
6,2,3,3,0,1,12,6,2,1
7,3,4,3,1,1,2,8,34,1
8,3,5,3,2,1,1,15,0,1
8,4,5,3,1,1,5,0,0,1
5,3,4,1,0,1,1,8,0,1
5,2,3,2,0,0,0,0,0,1
8,4,5,3,0,1,2,0,0,1
7,3,4,3,1,1,26,0,0,1
6,3,3,3,1,5,40,83,10,1
7,2,4,3,1,1,1,1,0,1
6,3,4,2,1,0,0,0,0,1
4,2,3,1,0,3,49,0,0,1
8,4,4,4,1,1,10,15,0,1
7,4,3,4,0,1,6,10,2,1
6,2,3,3,0,1,16,9,0,1
5,2,4,1,1,0,0,0,0,1
8,3,3,5,0,0,0,0,0,1
5,3,4,1,0,1,6,8,2,1
5,3,3,2,0,0,0,0,0,1
6,3,4,2,0,2,7,12,0,1
5,1,3,2,1,2,12,0,0,1
6,3,3,3,0,1,8,7,4,1
4,2,3,1,0,1,2,0,0,1
5,2,3,2,0,1,18,0,0,1
6,4,4,2,0,3,15,40,166,1
6,2,3,3,1,1,4,6,18,1
7,4,4,3,0,0,0,0,0,1
7,4,3,4,0,2,45,30,128,1
10,5,5,5,0,0,0,0,0,1
5,3,4,1,0,3,26,88,224,1
5,2,2,3,0,1,7,25,16,1
6,3,4,2,0,3,21,0,0,1
4,2,2,2,0,0,0,0,0,1
7,3,4,3,1,1,3,6,4,1
3,1,1,2,0,5,62,43,20,1
6,2,4,2,1,1,5,8,7,1
6,3,3,3,0,1,5,7,4,1
9,4,6,3,1,1,12,0,0,1
7,3,4,3,0,1,1,0,0,1
5,3,3,2,0,1,43,0,0,1
6,2,3,3,1,1,3,4,0,1
3,2,1,2,0,2,15,26,45,1
6,2,3,3,1,2,46,0,0,1
8,3,5,3,1,3,13,29,3,1
6,2,4,2,0,2,44,0,0,1
9,3,5,4,2,1,2,0,0,1
3,2,3,0,0,2,12,9,24,1
5,2,3,2,0,1,4,11,0,1
4,2,3,1,0,1,39,0,0,1
5,2,3,2,0,1,3,37,12,1
5,2,3,2,1,1,8,17,218,1
6,2,4,2,1,3,53,82,19,1
6,3,3,3,0,4,91,22,0,1
6,3,3,3,0,3,7,37,22,1
7,4,4,3,1,1,1,8,5,1
7,3,4,3,1,1,20,15,0,1
3,1,2,1,0,0,0,0,0,1
6,3,4,2,0,1,2,8,0,1
7,4,4,3,0,5,80,66,200,1
4,2,2,2,0,1,4,16,0,1
3,1,2,1,0,2,9,8,0,1
4,1,2,2,0,1,11,6,1,1
5,2,3,2,0,2,8,83,0,1
5,2,3,2,1,1,30,1,133,1
5,2,3,2,1,4,29,56,126,1
11,5,5,6,0,1,4,1,9,1
6,3,4,2,0,1,4,15,1,1
7,2,4,3,1,1,9,20,24,1
8,3,5,3,2,2,55,30,8,1
4,2,2,2,0,5,32,53,3,1
10,3,5,5,1,1,1,0,0,1
9,4,5,4,1,1,6,8,26,1
6,3,4,2,0,4,8,0,0,1
5,2,3,2,0,1,13,15,31,1
7,2,4,3,1,1,13,2,18,1
6,2,3,3,1,2,37,46,9,1
