word,length,syllables,consonants,vowels,consonantconjuncts,count,senses,synonyms,hypernyms,hyponyms,authors,years,source
कसाव,4,2,3,1,0,14,2,3,30,0,"Jayshree Roy,Vibhooti Narayan Roy,Santosh Shrivastav,na","2012,1983,unk,na","story_na,wiki_music,wiki_sports,web_news"
एहतियात,7,4,4,3,0,21,4,27,22,32,"Kunal Singh,Tufail Chaturvedi,Kashinath Singh,Santosh Shrivastav,na","2010,unk,2008,na","story_na,web_news"
अंधड़,4,2,1,2,0,1,0,0,0,0,"Santosh Shrivastav","unk","story_na"
किवाड़,6,2,3,3,0,26,1,12,6,2,"Kunal Singh,Sudhakar Adeeb,Devkinandan Khatri,Sharatchandra Chattopadhyay,Mamta Kalia,Premchand,Jayshankar Prasad,Tufail Chaturvedi,Vibhooti Narayan Roy","2010,2000,1888,1920,2009,1928,1936,1929,unk,1926,1988,1917","story_na"
उत्पादन,7,3,4,3,1,425,1,2,8,34,"Kunal Singh,Mamta Kalia,Anwar Suhail,na","2010,2000,unk,na","story_na,wiki_animals,wiki_automobiles,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_religion,wiki_science,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_wedding,web_news"
व्यस्तता,8,3,5,3,2,28,1,1,15,0,"Mamta Kalia,Suraj Prakash,Vibhooti Narayan Roy,Santosh Chaube,Kavita,Ravindra Kalia,unk,Santosh Shrivastav,na","2000,1983,1998,2006,2012,2009,unk,2010,na","story_na,wiki_money,wiki_parenting,web_news"
नाममात्र,8,4,5,3,1,5,1,5,0,0,"Vibhooti Narayan Roy,Santosh Shrivastav,na,dada bhagvan","1988,unk,na,2004","story_na,wiki_money,story_bhandarkar oriental research institute,web_news"
विघटन,5,3,4,1,0,31,1,1,8,0,"Yashwant Kothari,na","1983,na","story_na,wiki_culture,wiki_education,wiki_health,wiki_money,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,web_news"
काकली,5,2,3,2,0,1,0,0,0,0,"Manisha Kulshreshth","2012","story_na"
मूसलाधार,8,4,5,3,0,14,1,2,0,0,"Tufail Chaturvedi,Vibhooti Narayan Roy,Kashinath Singh,Santosh Shrivastav,na","unk,2009,2008,1988,2010,na","story_na,story_bhandarkar oriental research institute,web_news"
व्याकुल,7,3,4,3,1,31,1,26,0,0,"Premchand,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Shrivastav,Sharatchandra Chattopadhyay,Vibhooti Narayan Roy,Jainandan,Ravindra Kalia,Manisha Kulshreshth,na","1928,1936,1949,1929,1932,unk,2003,1926,2009,2012,1917,1952,2010,na","story_na,wiki_religion,web_news"
स्मृति,6,3,3,3,1,194,5,40,83,10,"Kunal Singh,Sudhakar Adeeb,Mamta Kalia,Premchand,Vibhooti Narayan Roy,Jayshankar Prasad,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Jayshree Roy,Ravindra Kalia,Manisha Kulshreshth,Sharatchandra Chattopadhyay,unk,Jitendra Visaria,na,dada bhagvan","2010,2000,2009,1928,1983,1936,1929,1932,1998,2006,unk,2003,2012,1917,na,2004,2014","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_education,wiki_festivals,wiki_health,wiki_history,wiki_law,wiki_music,wiki_nature,wiki_religion,wiki_science,story_bhandarkar oriental research institute,web_news"
मातृत्व,7,2,4,3,1,33,1,1,1,0,"Premchand,Dharmveer Bharti,Santosh Shrivastav,Jainandan,Sharatchandra Chattopadhyay,na","1936,1949,2003,unk,1917,na","story_na,wiki_books,wiki_cinema,wiki_parenting,web_news"
जलाश्य,6,3,4,2,1,1,0,0,0,0,"Yashpal Jain","unk","story_na"
तुनक,4,2,3,1,0,7,3,49,0,0,"Kunal Singh,Tufail Chaturvedi,Suraj Prakash,Yashpal Jain,na","2010,unk,2005,na","story_na,web_news"
उपभोक्ता,8,4,4,4,1,82,1,10,15,0,"Mamta Kalia,Vibhooti Narayan Roy,na","2000,2010,na","story_na,wiki_animals,wiki_automobiles,wiki_cinema,wiki_festivals,wiki_money,wiki_nature,wiki_science,wiki_technology,web_news"
अनुभूति,7,4,3,4,0,83,1,6,10,2,"Sudhakar Adeeb,Jayshree Roy,Mamta Kalia,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Santosh Chaube,Premchand Sahajvala,Sharatchandra Chattopadhyay,Jainandan,Santosh Shrivastav,na,dada bhagvan","2000,2012,2009,1983,1949,1929,1998,2006,2013,1926,unk,1988,1917,na,2004,2003","story_na,wiki_art,wiki_books,wiki_cinema,wiki_culture,wiki_health,wiki_music,wiki_science,story_bhandarkar oriental research institute,web_news"
खूँखार,6,2,3,3,0,16,1,16,9,0,"Kunal Singh,Sudhakar Adeeb,Vibhooti Narayan Roy,Jayshree Roy,Jainandan,unk,Santosh Shrivastav,na","2010,2000,1983,2009,2012,unk,na","story_na,wiki_religion"
जग्गन,5,2,4,1,1,2,0,0,0,0,"Kashinath Singh","2008","story_na"
कौड़ियों,8,3,3,5,0,8,0,0,0,0,"Asgar Vajahat,na","unk,na","story_na,web_news"
विचरण,5,3,4,1,0,14,1,6,8,2,"Sudhakar Adeeb,Sharatchandra Chattopadhyay,Vibhooti Narayan Roy,na","2000,1917,2010,na,2003","story_na,wiki_animals,wiki_books,wiki_cinema,wiki_festivals,wiki_health,wiki_religion,wiki_science,wiki_universe,story_bhandarkar oriental research institute,web_news"
लतरों,5,3,3,2,0,2,0,0,0,0,"Dharmveer Bharti","1949","story_na"
संयोजन,6,3,4,2,0,69,2,7,12,0,"Mamta Kalia,Santosh Chaube,na,dada bhagvan","2000,2006,na,2008","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_food,wiki_health,wiki_money,wiki_music,wiki_nature,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_universe,story_bhandarkar oriental research institute,web_news"
मुग्ध,5,1,3,2,1,48,2,12,0,0,"Naresh Nadeem,Jayshree Roy,Suraj Prakash,Premchand,Asgar Vajahat,Dharmveer Bharti,Vibhooti Narayan Roy,Yashpal Jain,Jainandan,Sharatchandra Chattopadhyay,unk,Santosh Shrivastav,na","2012,2000,1928,unk,1936,1949,1932,1998,1917,2010,na","story_na,wiki_art,wiki_books,wiki_health,wiki_history,wiki_religion"
चितेरा,6,3,3,3,0,1,1,8,7,4,"na","na","web_news"
दूभर,4,2,3,1,0,9,1,2,0,0,"Premchand,Yashpal Jain,Vibhooti Narayan Roy,Sharatchandra Chattopadhyay,na","1932,unk,1988,1917,na","story_na,wiki_health,web_news"
माफिक,5,2,3,2,0,10,1,18,0,0,"Naresh Nadeem,Devkinandan Khatri,Dharmveer Bharti,Tufail Chaturvedi,Jainandan,Ravindra Kalia,na,dada bhagvan","2012,1888,1949,unk,na,2008","story_na,wiki_universe,story_bhandarkar oriental research institute"
तरकारी,6,4,4,2,0,27,3,15,40,166,"Kunal Singh,Mamta Kalia,Premchand,Dharmveer Bharti,Tufail Chaturvedi,Santosh Shrivastav,Sharatchandra Chattopadhyay,na","2010,2009,1928,1949,unk,2003,1926,1917,na","story_na,wiki_food,wiki_nature"
उत्पाद,6,2,3,3,1,168,1,4,6,18,"Mamta Kalia,Jainandan,Ravindra Kalia,unk,na","2000,unk,na","story_na,wiki_automobiles,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_food,wiki_health,wiki_money,wiki_music,wiki_nature,wiki_religion,wiki_science,wiki_tourism,wiki_transport,web_news"
चायखाने,7,4,4,3,0,1,0,0,0,0,"Asgar Vajahat","unk","story_na"
अनुयायी,7,4,3,4,0,87,2,45,30,128,"Premchand,Vibhooti Narayan Roy,na,dada bhagvan","1936,1998,na,2010,2008","story_na,wiki_books,wiki_culture,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_music,wiki_religion,wiki_sports,story_bhandarkar oriental research institute,web_news"
गतिविधियों,10,5,5,5,0,474,0,0,0,0,"Sudhakar Adeeb,Vibhooti Narayan Roy,Santosh Chaube,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Santosh Shrivastav,na","2000,1998,2006,2009,unk,2012,1988,2010,na","story_na,wiki_animals,wiki_art,wiki_books,wiki_cinema,wiki_defence,wiki_education,wiki_festivals,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,web_news"
संगठन,5,3,4,1,0,1030,3,26,88,224,"Asgar Vajahat,Premchand,Jayshankar Prasad,Santosh Chaube,Jainandan,Yashwant Kothari,na","unk,1936,1929,1932,2006,1983,na","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_defence,wiki_education,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_transport,wiki_universe,web_news"
पूंजी,5,2,2,3,0,196,1,7,25,16,"Suraj Prakash,Asgar Vajahat,Premchand,Tufail Chaturvedi,Vibhooti Narayan Roy,na","2000,unk,1936,1998,na","story_na,wiki_automobiles,wiki_history,wiki_money,wiki_nature,wiki_science,wiki_technology,wiki_transport,web_news"
छिटकना,6,3,4,2,0,1,3,21,0,0,"dada bhagvan","2004","story_bhandarkar oriental research institute"
गेसू,4,2,2,2,0,63,0,0,0,0,"Dharmveer Bharti,na","1949,na","story_na,wiki_books"
उपन्यास,7,3,4,3,1,235,1,3,6,4,"Sudhakar Adeeb,Naresh Nadeem,Mamta Kalia,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Premchand,Tufail Chaturvedi,Kavita,Kashinath Singh,Jayshree Roy,Ravindra Kalia,Sharatchandra Chattopadhyay,na","2000,2012,2009,1983,1949,1929,1932,unk,2008,1917,1952,na","story_na,wiki_art,wiki_books,wiki_cinema,wiki_religion,wiki_science,web_news"
ऐंठ,3,1,1,2,0,16,5,62,43,20,"Naresh Nadeem,Mamta Kalia,Bhairav Prasad Gupt,Premchand,Vibhooti Narayan Roy,A. Asafal,Kavita,Sharatchandra Chattopadhyay,na","2012,2009,1952,1936,1998,unk,1917,2010,na","story_na,web_news"
विकल्प,6,2,4,2,1,324,1,5,8,7,"Kunal Singh,Naresh Nadeem,Mamta Kalia,Suraj Prakash,Jayshankar Prasad,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Shrivastav,Premchand Sahajvala,Anwar Suhail,Jainandan,Ravindra Kalia,unk,na,dada bhagvan","2010,2012,2000,2009,1929,unk,1998,2003,2013,na,2008,2004,2011,1997","story_na,wiki_automobiles,wiki_cinema,wiki_festivals,wiki_food,wiki_health,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_transport,story_bhandarkar oriental research institute,web_news"
चारपाई,6,3,3,3,0,158,1,5,7,4,"Kunal Singh,Sudhakar Adeeb,Naresh Nadeem,Suraj Prakash,Mamta Kalia,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Premchand Sahajvala,Sharatchandra Chattopadhyay,na","2010,2000,2012,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2013,1926,1988,na","story_na,web_news"
सार्वजनिक,9,4,6,3,1,510,1,12,0,0,"Kunal Singh,Sudhakar Adeeb,Premchand,Vibhooti Narayan Roy,Kavita,Anwar Suhail,Jainandan,unk,Santosh Shrivastav,na","2010,2000,1932,1998,2012,unk,1988,na","story_na,wiki_animals,wiki_automobiles,wiki_books,wiki_cinema,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_transport,wiki_universe,web_news"
संचालित,7,3,4,3,0,123,1,1,0,0,"Kunal Singh,Asgar Vajahat,Vibhooti Narayan Roy,Santosh Chaube,Jainandan,na,dada bhagvan","2010,unk,1998,2006,na,2008","story_na,wiki_automobiles,wiki_cinema,wiki_education,wiki_festivals,wiki_history,wiki_law,wiki_money,wiki_music,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
अनुपम,5,3,3,2,0,65,1,43,0,0,"Mamta Kalia,Premchand,Santosh Shrivastav,Kavita,Yashpal Jain,Ravindra Kalia,na","2000,1936,2003,2012,unk,na,2010","story_na,wiki_art,wiki_books,wiki_culture,wiki_law,wiki_music,wiki_religion,story_bhandarkar oriental research institute,web_news"
अभिन्न,6,2,3,3,1,32,1,3,4,0,"Kunal Singh,Sharatchandra Chattopadhyay,Vibhooti Narayan Roy,na","2010,1920,na","story_na,wiki_animals,wiki_art,wiki_cinema,wiki_culture,wiki_food,wiki_health,wiki_nature,wiki_politics,wiki_religion,wiki_science,wiki_wedding,web_news"
ऋतु,3,2,1,2,0,121,2,15,26,45,"Sharatchandra Chattopadhyay,Premchand,Jayshankar Prasad,Santosh Shrivastav,Jayshree Roy,na","1920,1928,1929,2003,2012,1917,unk,na","story_na,wiki_animals,wiki_festivals,wiki_food,wiki_health,wiki_law,wiki_nature,wiki_parenting,wiki_religion,wiki_science,wiki_tourism,wiki_transport,wiki_weather,wiki_wedding,web_news"
अद्भुत,6,2,3,3,1,165,2,46,0,0,"Kunal Singh,Naresh Nadeem,Jayshree Roy,Suraj Prakash,Mamta Kalia,Premchand,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Chaube,Santosh Shrivastav,Kavita,Sharatchandra Chattopadhyay,Anwar Suhail,Kashinath Singh,Jainandan,unk,na,dada bhagvan","2010,2012,2000,2009,1936,1932,unk,1998,2006,2003,1926,2008,1917,na,2004,2014,1997","story_na,wiki_art,wiki_books,wiki_festivals,wiki_food,wiki_health,wiki_music,wiki_religion,wiki_science,story_bhandarkar oriental research institute,web_news"
विज्ञापन,8,3,5,3,1,355,3,13,29,3,"Sudhakar Adeeb,Mamta Kalia,Suraj Prakash,Vibhooti Narayan Roy,Premchand,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,Premchand Sahajvala,Kashinath Singh,Ravindra Kalia,unk,Santosh Shrivastav,Yashwant Kothari,na","2000,2009,1983,1936,1949,unk,2006,2013,2008,na","story_na,wiki_art,wiki_automobiles,wiki_cinema,wiki_festivals,wiki_history,wiki_nature,wiki_religion,wiki_sports,wiki_transport,wiki_universe,wiki_wedding,web_news"
बेधड़क,6,2,4,2,0,6,2,44,0,0,"Devkinandan Khatri,Anwar Suhail,Yashpal Jain,Sharatchandra Chattopadhyay,na","1888,unk,1917,na","story_na,web_news"
केन्द्रीय,9,3,5,4,2,116,1,2,0,0,"Asgar Vajahat,Dharmveer Bharti,Vibhooti Narayan Roy,na","unk,1949,2010,na","story_na,wiki_art,wiki_books,wiki_culture,wiki_defence,wiki_education,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_tourism,wiki_transport,wiki_universe,web_news"
गठन,3,2,3,0,0,464,2,12,9,24,"Kunal Singh,Asgar Vajahat,Premchand,Dharmveer Bharti,Sharatchandra Chattopadhyay,Santosh Shrivastav,Yashwant Kothari,na,dada bhagvan","2010,unk,1936,1949,1932,1917,1952,1983,na,2004","story_na,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
बारजा,5,2,3,2,0,1,1,4,11,0,"Vibhooti Narayan Roy","1988","story_na"
सहसा,4,2,3,1,0,215,1,39,0,0,"Kunal Singh,Sudhakar Adeeb,Sharatchandra Chattopadhyay,Premchand,Bhairav Prasad Gupt,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Premchand Sahajvala,Yashpal Jain,Kashinath Singh,Ravindra Kalia,Santosh Shrivastav,Jitendra Visaria,na","2010,2000,1920,1928,1952,1983,1936,1949,1929,1932,unk,2013,1926,2008,1917,na","story_na,wiki_books,wiki_religion,web_news"
मँडरा,5,2,3,2,0,6,1,3,37,12,"Sudhakar Adeeb,Naresh Nadeem,Mamta Kalia,Jayshankar Prasad,Manisha Kulshreshth","2000,2012,2009,1929","story_na"
द्वीप,5,2,3,2,1,146,1,8,17,218,"Naresh Nadeem,Jayshankar Prasad,Yashpal Jain,Ravindra Kalia,Sharatchandra Chattopadhyay,unk,na","2012,1929,unk,1917,na","story_na,wiki_animals,wiki_art,wiki_books,wiki_culture,wiki_festivals,wiki_food,wiki_money,wiki_nature,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_transport,wiki_universe,web_news"
वरिष्ठ,6,2,4,2,1,550,3,53,82,19,"Mamta Kalia,Asgar Vajahat,Santosh Chaube,A. Asafal,Premchand Sahajvala,Ravindra Kalia,unk,Vibhooti Narayan Roy,Yashwant Kothari,na,dada bhagvan","2009,unk,2006,2013,2010,1983,na,2007","story_na,wiki_automobiles,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_politics,story_bhandarkar oriental research institute,web_news"
भूमिका,6,3,3,3,0,985,4,91,22,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Mamta Kalia,Suraj Prakash,Asgar Vajahat,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Chaube,Premchand Sahajvala,Anwar Suhail,Jainandan,Manisha Kulshreshth,Sharatchandra Chattopadhyay,Dharmveer Bharti,Santosh Shrivastav,na,dada bhagvan","2010,2000,2015,2012,2009,unk,1998,2006,2013,1988,1917,1952,na,2008,2004,2003,2007","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,story_bhandarkar oriental research institute,web_news"
अभियान,6,3,3,3,0,771,3,7,37,22,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Mamta Kalia,Suraj Prakash,Asgar Vajahat,Vibhooti Narayan Roy,Santosh Chaube,A. Asafal,Sharatchandra Chattopadhyay,Anwar Suhail,Jainandan,unk,Santosh Shrivastav,na","2010,2000,2015,2009,unk,1983,1998,2006,1926,na","story_na,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_food,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_politics,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,web_news"
उपलब्धि,7,4,4,3,1,68,1,1,8,5,"Asgar Vajahat,Tufail Chaturvedi,Santosh Shrivastav,Sharatchandra Chattopadhyay,Yashpal Jain,Ravindra Kalia,unk,na","unk,2003,1926,na","story_na,wiki_cinema,wiki_education,wiki_history,wiki_nature,wiki_politics,wiki_religion,wiki_transport,web_news"
सन्नाटा,7,3,4,3,1,138,1,20,15,0,"Kunal Singh,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,Yashwant Kothari,Jitendra Visaria,na","2010,2012,1888,2000,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2006,2003,2013,2008,1988,na","story_na,wiki_tourism,web_news"
सून,3,1,2,1,0,2,0,0,0,0,"Usha Kiran Khan,na","2015,na","story_na,web_news"
भुगतान,6,3,4,2,0,172,1,2,8,0,"Naresh Nadeem,Suraj Prakash,Mamta Kalia,Asgar Vajahat,Vibhooti Narayan Roy,Tufail Chaturvedi,Santosh Shrivastav,Ravindra Kalia,na","2012,2000,2009,unk,1983,1998,2003,2010,na","story_na,wiki_cinema,wiki_history,wiki_money,wiki_politics,wiki_sports,wiki_technology,wiki_transport,web_news"
सिलसिला,7,4,4,3,0,294,5,80,66,200,"Kunal Singh,Sudhakar Adeeb,Naresh Nadeem,Jayshree Roy,Suraj Prakash,Mamta Kalia,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Jayshankar Prasad,Premchand,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Kavita,Jainandan,unk,na,dada bhagvan","2010,2000,2012,2009,1952,unk,1983,1929,1932,1998,2006,2003,1988,na","story_na,wiki_art,wiki_automobiles,wiki_cinema,wiki_festivals,wiki_music,wiki_transport,story_bhandarkar oriental research institute,web_news"
ढेला,4,2,2,2,0,2,1,4,16,0,"Tufail Chaturvedi,na","unk,na","story_na,web_news"
