,gid,word,simple,complex
335,cwig8,आत्मनीन,0,1
336,cwig8,आत्मप्रभव,1,0
337,cwig8,आत्मभू,0,1
338,cwig8,आत्मसंभव,0,1
339,cwig8,आत्मसमुद्भव,1,0
340,cwig8,आत्मसम्भव,0,1
341,cwig8,आत्मोद्भव,1,0
342,cwig8,आंदोलन,0,2
343,cwig8,आन,0,2
344,cwig8,आन्दोलन,1,1
345,cwig8,आफिस,0,2
346,cwig8,आम,0,2
347,cwig8,आमूलचूल,1,0
348,cwig8,आरोगिता,0,1
349,cwig8,आरोग्यभवन,0,1
350,cwig8,आरोग्यशाला,0,1
351,cwig8,आलि,1,2
352,cwig8,आली,0,1
353,cwig8,आवटना,0,2
354,cwig8,आवरण,0,1
355,cwig8,आसना,0,4
356,cwig8,इकंक,0,1
357,cwig8,इकसूत,0,1
358,cwig8,इंगन,0,1
359,cwig8,इङ्गन,1,0
360,cwig8,इत्तला,0,1
361,cwig8,इत्तिला,0,1
362,cwig8,इफतरा,0,1
363,cwig8,इफ़तरा,0,1
364,cwig8,इफ्तरा,0,1
365,cwig8,इफ़्तरा,1,0
366,cwig8,इफ्तिरा,1,0
367,cwig8,इफ़्तिरा,1,0
368,cwig8,इब्न,1,0
369,cwig8,इमदाद,0,1
370,cwig8,इम्दाद,0,1
371,cwig8,इल्म,1,0
372,cwig8,ईठि,2,0
373,cwig8,उँकारी,0,2
374,cwig8,उतार,0,1
375,cwig8,उत्तरदायक,1,0
376,cwig8,उत्तरदायी,0,1
377,cwig8,एकदम,0,1
378,cwig8,एकमेव,0,1
379,cwig8,एडमिशन,1,0
380,cwig8,ऐंठ,0,1
381,cwig8,ऐंठन,0,1
382,cwig8,ऐन,0,2
383,cwig8,ऑफिस,1,1
384,cwig8,कगार,0,1
385,cwig8,कच्चा,0,2
386,cwig8,कच्चे,0,2
387,cwig8,कज,0,2
388,cwig8,कतई,0,3
389,cwig8,कत्तई,0,3
390,cwig8,कदापि,0,3
391,cwig8,कभी,0,3
392,cwig8,कमजोर,0,2
393,cwig8,कमज़ोर,0,2
394,cwig8,कमी,0,1
395,cwig8,करीना,0,2
396,cwig8,क़रीना,1,1
397,cwig8,कलंक,0,1
398,cwig8,कलौंछ,0,1
399,cwig8,कलौंस,1,0
400,cwig8,कल्क,0,1
401,cwig8,कसर,0,1
402,cwig8,काचा,0,2
403,cwig8,काँचा,0,2
404,cwig8,कानून,0,1
405,cwig8,क़ानून,1,0
406,cwig8,कानूनों,1,0
407,cwig8,कायदा,0,3
408,cwig8,क़ायदा,0,3
409,cwig8,कायम,0,1
410,cwig8,कार्यशैली,0,2
411,cwig8,कार्यालय,0,2
412,cwig8,कालांतर,0,2
413,cwig8,कालिमा,0,1
414,cwig8,किशोर,0,1
415,cwig8,कुँअर,1,0
416,cwig8,कुंचित,1,1
417,cwig8,कुढ़ना,1,3
418,cwig8,कुमक,0,1
419,cwig8,कुमार,0,1
420,cwig8,कुँवर,1,0
421,cwig8,कुंवर,0,1
422,cwig8,कूल,0,1
423,cwig8,केतु,0,1
424,cwig8,केवल,0,1
425,cwig8,कोमलता,0,1
426,cwig8,कोमलताई,0,1
427,cwig8,कौतुक,1,0
428,cwig8,क्रमागत,0,2
429,cwig8,क्लिनिक,0,1
430,cwig8,क्लीनिक,0,1
431,cwig8,क्षति,0,1
432,cwig8,खबर,0,1
433,cwig8,ख़बर,0,1
434,cwig8,खलबल,0,2
435,cwig8,खलबली,0,2
436,cwig8,खाक,0,1
437,cwig8,ख़ाक,0,1
438,cwig8,खाल,0,2
439,cwig8,खाली,0,1
440,cwig8,ख़ाली,0,1
441,cwig8,खिजना,1,3
442,cwig8,खिजलाना,1,3
443,cwig8,खिझना,2,2
444,cwig8,खिसियाना,2,2
445,cwig8,खीजना,2,2
446,cwig8,खीझना,3,1
447,cwig8,खुदी,0,1
448,cwig8,ख़ुदी,1,0
449,cwig8,खोद,0,1
450,cwig8,खोल,0,1
451,cwig8,खोलकर,0,1
452,cwig8,खोली,0,1
453,cwig8,गडंग,0,1
454,cwig8,गरिमापूर्ण,1,0
455,cwig8,गरिमायुक्त,1,0
456,cwig8,गरूर,0,1
457,cwig8,ग़रूर,1,0
458,cwig8,गर्द,0,1
459,cwig8,गर्व,0,1
460,cwig8,गारो,0,1
461,cwig8,गिराव,1,0
462,cwig8,गिरावट,0,1
463,cwig8,गिलाफ,0,1
464,cwig8,ग़िलाफ़,1,0
465,cwig8,गुमान,0,1
466,cwig8,गुरूर,1,0
467,cwig8,ग़ुरूर,1,0
468,cwig8,ग़ुलामी,0,1
469,cwig8,गौरवपूर्ण,0,1
470,cwig8,गौरवयुक्त,0,1
471,cwig8,गौरवशाली,0,1
472,cwig8,गौरवान्वित,1,0
473,cwig8,घटती,0,1
474,cwig8,घटाव,0,1
475,cwig8,घटौती,1,0
476,cwig8,घमंड,0,1
477,cwig8,घमण्ड,0,1
478,cwig8,घाटा,0,1
479,cwig8,घुमावदार,1,1
480,cwig8,चटकन,1,1
481,cwig8,चन्द,0,1
482,cwig8,चपत,0,2
483,cwig8,चपेट,0,2
484,cwig8,चपेटा,0,2
485,cwig8,चमड़ा,0,2
486,cwig8,चमड़ी,1,1
487,cwig8,चरका,0,1
488,cwig8,चर्म,0,2
489,cwig8,चलते,0,3
490,cwig8,चाँटा,1,1
491,cwig8,चिकित्सालय,0,1
492,cwig8,चित,0,2
493,cwig8,चित्त,0,2
494,cwig8,चिन्तनशील,1,1
495,cwig8,चिर,0,2
496,cwig8,चिरंजी,0,1
497,cwig8,चिरंजीव,0,1
498,cwig8,छाती,0,2
499,cwig8,छीज,0,1
500,cwig8,छोर,0,1
501,cwig8,जद,0,1
502,cwig8,जरूर,0,1
503,cwig8,जर्ण,0,4
504,cwig8,जवाबदेह,1,0
505,cwig8,जवाँमर्द,0,1
506,cwig8,जवांमर्द,1,0
507,cwig8,जहन,0,2
508,cwig8,ज़हन,0,2
509,cwig8,जाड़ा,0,1
510,cwig8,जात,0,4
511,cwig8,जानकारी,0,1
512,cwig8,जाया,0,1
513,cwig8,जिम्मादार,0,1
514,cwig8,जिम्मेदार,1,0
515,cwig8,ज़िम्मेदार,0,1
516,cwig8,जिम्मेवार,1,0
517,cwig8,ज़िम्मेवार,1,0
518,cwig8,जिहन,0,2
519,cwig8,ज़िहन,1,1
520,cwig8,जी,0,2
521,cwig8,जुकाम,0,1
522,cwig8,ज़ुकाम,0,1
523,cwig8,जेहन,1,1
524,cwig8,ज़ेहन,2,0
525,cwig8,ज्ञान,0,1
526,cwig8,ज्ञानातीत,0,2
527,cwig8,ज्ञापन,0,1
528,cwig8,झापड़,0,2
529,cwig8,झाँपड़,1,1
530,cwig8,झिलम,0,1
531,cwig8,झुँझला,2,2
532,cwig8,झुँझलाना,1,3
533,cwig8,टान,0,1
534,cwig8,टूट,0,1
535,cwig8,टूटना,0,2
536,cwig8,टूटने,0,1
537,cwig8,टेक्निकल,1,0
538,cwig8,टेढ़ा,1,1
539,cwig8,टेंशन,0,1
540,cwig8,टोटा,0,1
541,cwig8,ठंड,0,1
542,cwig8,ठंडक,0,1
543,cwig8,ठंडी,0,1
544,cwig8,ठंढ,1,0
545,cwig8,ठंढक,1,0
546,cwig8,ठंढी,0,1
547,cwig8,ठन्ड,0,1
548,cwig8,ठसक,0,1
549,cwig8,ठहराया,0,1
550,cwig8,ठीक,0,2
551,cwig8,ढंग,0,2
552,cwig8,ढब,0,2
553,cwig8,ढर्रा,2,0
554,cwig8,त,0,1
555,cwig8,तकनीकी,0,1
556,cwig8,तकसीम,0,1
557,cwig8,तक़सीम,1,0
558,cwig8,तक्सीम,1,0
559,cwig8,तट,0,1
560,cwig8,तड़ी,1,1
561,cwig8,तंदरुस्ती,1,0
562,cwig8,तनय,0,1
563,cwig8,तनाव,0,1
564,cwig8,तनुज,0,1
565,cwig8,तनुभव,0,1
566,cwig8,तनुरुह,1,0
567,cwig8,तनू,0,1
568,cwig8,तनूज,0,1
569,cwig8,तनूद्भव,1,0
570,cwig8,तनूरुह,0,1
571,cwig8,तने,0,1
572,cwig8,तनोज,0,1
573,cwig8,तनौज,0,1
574,cwig8,तबियत,1,1
575,cwig8,तबीयत,1,1
576,cwig8,तमाचा,0,2
577,cwig8,तय,0,1
578,cwig8,तयशुदा,1,0
579,cwig8,तरीका,0,2
580,cwig8,तरीक़ा,1,1
581,cwig8,तरु,0,4
582,cwig8,तरुवर,1,3
583,cwig8,तर्ज,1,2
584,cwig8,तान,0,1
585,cwig8,ताबदार,0,2
586,cwig8,तीर,0,1
587,cwig8,तुषारकाल,1,0
588,cwig8,तौर,0,2
589,cwig8,त्यौहार,1,0
590,cwig8,त्वचा,0,2
591,cwig8,थपेड़ा,0,2
592,cwig8,थप्पड़,1,1
593,cwig8,दफ़्तर,1,1
594,cwig8,दंभ,0,1
595,cwig8,दम्भ,0,1
596,cwig8,दरख्त,2,2
597,cwig8,दरख़्त,1,3
598,cwig8,दर्प,0,1
599,cwig8,दवाखाना,0,1
600,cwig8,दवाख़ाना,0,1
601,cwig8,दाग,0,1
602,cwig8,दाग़,0,1
603,cwig8,दागने,0,1
604,cwig8,दादा,0,1
605,cwig8,दाप,0,1
606,cwig8,दायदवत्,0,1
607,cwig8,दासता,0,1
608,cwig8,दासत्व,0,1
609,cwig8,दास्य,0,1
610,cwig8,दिल,0,2
611,cwig8,दिलावर,0,1
612,cwig8,देर,0,2
613,cwig8,देरी,0,2
614,cwig8,दोहर,0,1
615,cwig8,द्रुम,2,2
616,cwig8,धब्बा,1,0
617,cwig8,नख्ल,2,2
618,cwig8,नजला,0,1
619,cwig8,नज़ला,0,1
620,cwig8,नंदन,0,1
621,cwig8,नन्दन,0,1
622,cwig8,नम्रता,0,1
623,cwig8,नया,0,2
624,cwig8,नरमाई,0,1
625,cwig8,नरमाहट,0,1
626,cwig8,नरमी,0,1
627,cwig8,नरमीयत,0,1
628,cwig8,नरवीर,0,1
629,cwig8,नर्माहट,1,0
630,cwig8,नर्मी,1,0
631,cwig8,नवसिखा,0,2
632,cwig8,नवसिखुआ,1,1
633,cwig8,नाजुक,0,2
634,cwig8,नाज़ुक,0,2
635,cwig8,नामजदगी,1,0
636,cwig8,नामज़दगी,1,0
637,cwig8,नामांकन,0,1
638,cwig8,नामाङ्कन,1,0
639,cwig8,निगोड़ा,1,1
640,cwig8,नितांत,0,1
641,cwig8,नितान्त,0,1
642,cwig8,निदानगृह,0,1
643,cwig8,निदानिका,0,1
644,cwig8,निपट,0,1
645,cwig8,निपटा,0,1
646,cwig8,नियमित,0,1
647,cwig8,नियोजित,0,1
648,cwig8,निर्णित,0,1
649,cwig8,निर्णीत,0,1
650,cwig8,निर्दिष्ट,0,1
651,cwig8,निर्धारित,0,1
652,cwig8,निर्मोक,1,1
653,cwig8,निशान,0,1
654,cwig8,निश्चित,1,0
655,cwig8,निश्चिततः,1,0
656,cwig8,निसंदेह,0,1
657,cwig8,निःसंदेह,0,1
658,cwig8,निसन्देह,0,1
659,cwig8,निःसन्देह,0,1
660,cwig8,निस्संदेह,0,1
661,cwig8,निस्सन्देह,0,1
662,cwig8,नीमटर,0,2
663,cwig8,नुकसान,0,1
664,cwig8,नुक़सान,1,0
665,cwig8,नृपात्मज,1,0
666,cwig8,नोटिस,0,1
667,cwig8,नौसिख,0,2
668,cwig8,नौसिखिया,0,2
669,cwig8,नौसिखुआ,1,1
670,cwig8,न्यय,0,1
671,cwig8,न्यू,0,2
672,cwig8,न्यूनता,1,0
673,cwig8,पंजीयन,0,1
674,cwig8,पञ्जीकरण,1,0
675,cwig8,पञ्जीयन,1,0
676,cwig8,पता,0,1
677,cwig8,पदच्युत,3,0
678,cwig8,पद्धति,1,2
679,cwig8,परतंत्रता,0,1
680,cwig8,पराधीनता,0,1
681,cwig8,पर्व,0,1
682,cwig8,पर्वरीण,0,1
683,cwig8,पल्लवी,0,4
684,cwig8,पश्ता,0,1
685,cwig8,पादप,0,4
686,cwig8,पालि,0,3
687,cwig8,पित्र्य,1,0
688,cwig8,पीछे,0,3
689,cwig8,पीनस,0,1
690,cwig8,पुत्र,0,1
691,cwig8,पुलाकी,2,2
692,cwig8,पूत,0,1
693,cwig8,पूर्णतः,0,1
694,cwig8,पूर्णतया,1,0
695,cwig8,पूर्णरुपेण,0,1
696,cwig8,पूर्वज,0,1
697,cwig8,पेट,0,2
698,cwig8,पेड़,0,4
699,cwig8,प्रतिकुंचित,1,1
700,cwig8,प्रतिकुञ्चित,2,0
701,cwig8,प्रतिबंधक,1,3
702,cwig8,प्रतिबन्धक,1,3
703,cwig8,प्रयोजनतः,1,2
704,cwig8,प्रवृत्त,0,1
705,cwig8,प्रहाणि,0,1
706,cwig8,प्रागल्भ्य,1,0
707,cwig8,फरज़ंद,0,1
708,cwig8,फरजंद,0,1
709,cwig8,फरजन्द,0,1
710,cwig8,फरज़न्द,1,0
711,cwig8,फरजिंद,0,1
712,cwig8,फरज़िंद,1,0
713,cwig8,फरजिन्द,0,1
714,cwig8,फरज़िन्द,1,0
715,cwig8,फर्ज़ंद,1,0
716,cwig8,फर्जंद,1,0
717,cwig8,फर्ज़न्द,1,0
718,cwig8,फर्जंन्द,1,0
719,cwig8,फर्जिंद,1,0
720,cwig8,फर्ज़िंद,1,0
721,cwig8,फर्जिन्द,1,0
722,cwig8,फर्ज़िन्द,1,0
723,cwig8,फेस्टिवल,1,0
724,cwig8,फ़ेस्टिवल,1,0
725,cwig8,बंक,0,2
726,cwig8,बंकट,1,1
727,cwig8,बंगा,1,1
728,cwig8,बच्चा,0,1
729,cwig8,बँटवारा,0,1
730,cwig8,बंटवारा,0,1
731,cwig8,बँटाई,1,0
732,cwig8,बदौलत,0,3
733,cwig8,बरखास्त,0,3
734,cwig8,बरख़ास्त,0,3
735,cwig8,बरख्वास्त,1,2
736,cwig8,बरख़्वास्त,1,2
737,cwig8,बलखाता,0,2
738,cwig8,बलवान,0,1
739,cwig8,बस,0,1
740,cwig8,बहादुर,0,1
741,cwig8,बहाली,0,1
742,cwig8,बाँकड़ा,1,0
743,cwig8,बांकड़ा,0,1
744,cwig8,बाँकुड़ा,1,0
745,cwig8,बांकुड़ा,0,1
746,cwig8,बारी,0,1
747,cwig8,बाल,0,1
748,cwig8,बालक,0,1
749,cwig8,बाशिन्दा,1,0
750,cwig8,बाहुबली,0,1
751,cwig8,बिना,0,1
752,cwig8,बिलकुल,0,1
753,cwig8,बिलाशक,0,1
754,cwig8,बिल्कुल,0,1
755,cwig8,बीरो,1,3
756,cwig8,बृहत्काय,1,0
757,cwig8,बेटा,0,1
758,cwig8,बेर,0,2
759,cwig8,बेशक,0,1
760,cwig8,बोधातीत,0,2
761,cwig8,भइया,0,1
762,cwig8,भंग,0,1
763,cwig8,भङ्ग,1,0
764,cwig8,भट,1,1
765,cwig8,भर,0,3
766,cwig8,भाई,0,1
767,cwig8,भाईसाहब,0,1
768,cwig8,भाजन,0,1
769,cwig8,भारीभड़कम,1,0
770,cwig8,भारीभरकम,1,0
771,cwig8,भिज्ञता,0,1
772,cwig8,भीमकाय,0,1
773,cwig8,भूमिजात,0,4
774,cwig8,भैया,0,1
775,cwig8,मंजुल,0,1
776,cwig8,मद,0,1
777,cwig8,मदद,0,1
778,cwig8,मंदी,0,1
779,cwig8,मननशील,1,1
780,cwig8,मनसा,0,2
781,cwig8,मन्दी,0,1
782,cwig8,मरायल,0,1
783,cwig8,मर्द,0,1
784,cwig8,महज़,0,1
785,cwig8,महाकाय,0,1
786,cwig8,माटी,1,0
787,cwig8,मात्र,0,1
788,cwig8,मान,0,1
789,cwig8,मानस,0,2
790,cwig8,मिट्टी,1,0
791,cwig8,मुअत्तल,0,1
792,cwig8,मुकर्रर,1,0
793,cwig8,मुलायम,0,2
794,cwig8,मुलायमियत,1,0
795,cwig8,मृत्तिका,0,1
796,cwig8,मृदा,0,1
797,cwig8,मृदुलता,1,0
798,cwig8,मोड़दार,0,2
799,cwig8,मोड़ा,0,1
800,cwig8,यकीनन,0,1
801,cwig8,यक़ीनन,1,0
802,cwig8,युगांतर,0,2
803,cwig8,युगांतराल,1,1
804,cwig8,युगान्तर,0,2
805,cwig8,युगान्तराल,1,1
