Rowno,Word,Count,Row
244,नहीं,24,"28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
245,अरब,4,"28,28,32,32"
246,महासागर,2,"28,32"
248,तरफ,5,"28,28,28,32,32"
249,हरे-भरे,2,"28,32"
250,पेड़ों,2,"28,32"
251,स्थित,2,"28,32"
252,बड़ी-बड़ी,2,"28,32"
253,फैक्टरियाँ,3,"28,32,33"
254,दूसरी,4,"28,28,32,32"
256,बड़े-सा,3,"28,32,51"
257,बड़ा,3,"28,32,51"
258,दर्शन,2,"28,32"
259,समाज,2,"28,32"
260,देश,2,"28,32"
261,पता,2,"28,32"
262,क्या-क्या,2,"28,32"
263,सब,3,"28,32,32"
264,बेकार,2,"28,32"
265,बिना,3,"28,28,32"
266,पैसे,4,"28,28,32,32"
268,कोई,13,"28,28,28,32,32,32,32,32,32,32,32,32,32"
269,व्यवस्था,5,"28,32,32,33,51"
270,मनुष्य,2,"28,32"
271,बना,2,"28,32"
272,सका,2,"28,32"
273,जहां,2,"28,32"
274,भूमिका,6,"28,28,32,45,54,54"
275,न,2,"28,32"
276,स्थापित,3,"28,32,51"
277,होगी,2,"28,32"
278,जो,2,"28,32"
279,चौहान,1,28
280,साहब,1,28
281,को,9,"28,28,28,28,28,28,28,32,51"
282,पूरी,2,"28,28"
283,बांधकर,4,"28,33,33,51"
284,मैंने,2,"28,28"
285,पूरा,3,"28,28,28"
286,किस्सा,1,28
288,काफी,2,"28,32"
289,साथ,3,"28,28,32"
290,सुनते,2,"28,32"
291,तब,1,28
292,मछुआरों,5,"28,28,36,48,55"
293,कर्ज,1,28
294,उधर,2,"28,28"
295,देकर,1,28
296,बनाने,1,28
297,बढ़,1,28
298,रही,3,"28,28,28"
300,नदी,2,"28,32"
301,किनारे,2,"28,32"
302,मछली,2,"28,32"
303,कभी-कभी,2,"28,32"
304,तक,4,"28,28,28,32"
305,हो,24,"28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
306,जाती,3,"28,28,32"
308,बिखरी,2,"28,51"
309,हुई-सी,1,28
311,बनारस,1,28
312,गलियों,1,28
313,पतली,1,28
314,गलियाँ,1,28
315,लखनऊ,1,28
316,सडक़ों,2,"28,32"
317,चौड़ी,3,"28,28,32"
319,कर,21,"28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32"
320,लेती,1,28
321,थी,5,"28,28,28,28,32"
322,अंश,1,28
323,उसमें,1,28
324,इतना,3,"28,28,32"
325,था,5,"28,28,28,28,32"
326,नौकर,1,28
327,नौकरानी,1,28
328,उससे,1,28
329,अपना,1,28
330,सुख-दु:ख,1,28
331,कह,1,28
332,देते,1,28
333,पढ़ाई,1,28
334,साथ-साथ,1,28
335,घर,3,"28,28,28"
336,सारा,1,28
337,काम-काज,1,28
338,करते,2,"28,28"
339,हुए,3,"28,28,28"
340,उसका,3,"28,28,32"
341,कुछ,3,"28,28,28"
342,बिगड़,1,28
343,गया,2,"28,28"
344,अपनी,1,28
345,हिसाब,1,28
346,अधिक,1,28
347,शान्त,1,28
348,गम्भीर,1,28
349,बुजुर्ग,2,"28,32"
350,मगर,2,"28,32"
351,अपने,5,"28,28,28,28,32"
352,पापा,2,"28,32"
353,चन्दर,2,"28,32"
354,दोनों,8,"28,28,28,32,32,32,32,32"
355,सामने,3,"28,32,32"
356,हमेशा,2,"28,32"
357,बचपन,2,"28,32"
358,जाकर,1,28
359,ध्यान-योग,1,28
360,उसकी,2,"28,28"
361,साथिन,3,"28,41,45"
362,सुधा,1,28
363,आम,1,28
364,घनी,1,28
365,छाँह,1,28
366,हरी-हरी,1,28
367,दूब,1,28
368,सिर,1,28
369,नीचे,1,28
370,हाथ,1,28
371,रखकर,1,28
372,लेटी,1,28
373,रहतीं,1,28
374,दुनिया-भर,1,28
375,बातें,3,"28,28,32"
377,बातों,1,28
378,छोटी,2,"28,28"
379,बड़ी,12,"28,28,28,32,32,32,32,32,32,32,32,32"
380,किस,2,"28,28"
381,तरह,3,"28,28,28"
382,करती,1,28
383,थीं,2,"28,32"
384,यह,16,"28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32"
385,वही,1,28
386,समझ,1,28
387,सकता,3,"28,28,32"
388,जिसने,1,28
389,कभी,3,"28,28,28"
390,दो,2,"28,28"
391,सहेलियों,1,28
392,एकान्त,2,"28,45"
393,सुनी,1,28
395,गालिब,1,28
396,शायरी,1,28
397,लेकर,1,28
398,उनके,3,"28,28,28"
399,छोटे,1,28
400,भाई,1,28
401,हसरत,1,28
402,ने,8,"28,28,28,28,28,28,32,32"
403,कुत्ते,1,28
404,पिल्ला,1,28
405,पाला,1,28
406,सुनाया,1,28
407,इच्छा,1,28
408,आगे,4,"28,28,28,28"
409,लड़का,1,28
410,झुक,1,28
411,नगरी,1,28
414,रह,2,"28,28"
416,क्या,1,28
418,उसने,3,"28,28,32"
419,बुढ़िया,3,"28,28,35"
420,बाँहों,1,28
421,छुड़ाने,2,"28,36"
422,कोशिश,1,28
423,उसे,2,"28,28"
424,जकड़,2,"28,54"
425,रखा,1,28
426,वह,5,"28,28,28,28,32"
427,छुड़ा,1,28
428,पाया,1,28
429,सागर,2,"28,32"
430,चलते-चलते,2,"28,28"
431,बीता,1,28
432,समुद्र,3,"28,28,48"
433,छोटी-बड़ी,1,28
434,मछलियाँ,2,"28,36"
435,दूसरे,1,28
436,जीव-जंतु,1,28
437,आते,1,28
438,किंतु,1,28
439,उसके,1,28
440,आने,1,28
441,हिम्मत,1,28
442,पाते,1,28
443,दूर,3,"28,28,32"
444,भाग,1,28
445,जाते,2,"28,28"
446,बड़े,2,"28,28"
447,आनंद,2,"28,28"
448,बढ़ता,1,28
449,अंत,1,28
450,दिखाई,1,28
451,देता,1,28
452,रात,3,"28,28,28"
453,बिताई,1,28
454,आया,2,"28,32"
455,ममता,10,"28,32,32,32,32,32,32,32,32,32"
456,उनका,19,"28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
457,स्वागत,11,"28,32,32,32,32,32,32,32,32,32,51"
458,किया,11,"28,28,32,32,32,32,32,32,32,32,32"
459,आश्रम,10,"28,32,32,32,32,32,32,32,32,32"
460,कक्ष,21,"28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
461,ठहराया,10,"28,32,32,32,32,32,32,32,32,32"
462,उस,11,"28,28,32,32,32,32,32,32,32,32,32"
463,दीवार,10,"28,32,32,32,32,32,32,32,32,32"
464,हरी-भरी,1,28
465,एक-दूसरे,2,"28,32"
466,लिपट,1,28
467,हँसने,1,28
468,लगा,1,28
469,जाने,1,28
470,लोक,1,28
471,यात्रा,1,28
472,बढ़ती,1,28
474,सूर्य,1,28
475,पैर,1,28
476,चलते,2,"28,28"
478,रास्ते,1,28
479,मिला,1,28
480,जिसके,1,28
481,निर्मल,1,28
482,जल,1,28
483,पक्षी,1,28
484,रहे,12,"28,28,32,32,32,32,32,32,32,32,32,32"
486,सारे,1,28
487,खुले,1,28
488,दरवाजे,1,28
489,भड़,2,"28,28"
490,आप,1,28
491,बंद,2,"28,28"
492,होने,2,"28,28"
493,लगे,1,28
494,खुलने,1,28
496,कहीं,4,"28,28,28,51"
497,गिरी,2,"28,28"
498,गिरे,2,"28,51"
499,जैसे,1,28
500,धरती,1,28
501,हिल,1,28
502,उठी,1,28
503,दीवारें,1,28
504,काँपने,1,28
505,लगी,2,"28,28"
507,आँगन,1,28
508,लान,1,28
509,बड़े,2,"28,28"
510,ओलों,2,"28,54"
511,बर्फ,1,28
512,पत्थरों,1,28
513,पट,1,28
514,गए,4,"28,28,28,32"
515,रेलिंग,1,28
516,टूट,1,28
518,धड़ाम,1,28
519,चटनी-अचार,1,28
520,लाख,1,28
521,बावजूद,2,"28,35"
522,उसी,1,28
523,चलता,1,28
525,इधर,1,28
527,पकड़ने,1,28
528,घात,1,28
529,रहते,1,28
530,पकड़ते,1,28
531,मौका,1,28
532,पा,1,28
533,उनकी,10,"28,32,32,32,32,32,32,32,32,32"
534,बच्चों,1,28
535,डेढ़,1,28
536,महीने,1,28
537,चल,1,28
538,चुप,1,28
539,गोल-गोल,2,"28,28"
540,घुमा,1,28
541,छोड़,1,28
542,देती,1,28
543,खुलतीं,1,28
544,सिलसिला,4,"28,31,46,50"
545,खत्म,1,28
547,मैं,1,28
548,घूमेती,1,28
550,जिन्दगी,1,28
551,घेर-घुमेर,2,"28,54"
552,वाले,1,28
553,झूले,2,"28,28"
554,सचमुच,1,28
555,रोक,1,28
556,यही,1,28
557,जंगल,1,28
558,सुस्ता,2,"28,33"
559,तेन्दुए,1,28
560,लगता,2,"28,32"
561,शाम,1,28
562,लौटने,1,28
563,विविध,2,"28,52"
564,प्रतिध्वनित,1,28
565,विकल,1,28
566,देने,2,"28,28"
567,वाली,2,"28,28"
568,उदास,1,28
569,शान्ति,2,"28,28"
571,यहाँ,1,28
572,जैसी,1,28
573,देखी,1,28
574,ये,1,28
575,कुशल,1,28
576,कल्पना,1,28
577,समा,1,28
578,गली,3,"28,28,28"
579,आधी,1,28
580,टकराए,1,28
581,निकलना,1,28
582,आज,2,"28,28"
583,सड़क,1,28
584,लग,1,28
585,इस,2,"28,28"
586,रोशनी,2,"28,46"
587,पहले,1,28
588,घरों,1,28
589,कारण,1,28
590,उनसे,1,28
591,पड़ने,1,28
592,वाला,1,28
593,प्रकाश,1,28
594,छन-छनकर,1,28
595,पड़,1,28
596,अँधेरे,1,28
597,बढ़ा,1,28
598,कार्यवाही,4,"28,40,47,51"
599,जाए,1,28
600,मदन,1,28
601,जी,1,28
602,सुझाव,1,28
603,सहमत,1,28
604,भरे,1,28
606,घानी,2,"28,50"
607,साडियों,1,28
608,हरियाली,2,"28,51"
609,नाता,1,28
610,जोड़ा,1,28
611,इसी,1,28
612,समय,1,28
613,आकर,1,28
614,खडा,1,28
620,अंदाज,1,31
621,टक्कर,1,32
622,बीस-बीस,1,32
623,यों,1,32
624,बिन,1,32
625,पैसा,1,32
627,तय,2,"32,54"
628,लिए,2,"32,32"
629,ऐसी,1,32
630,श्रम,1,32
632,ज्ञान,1,32
633,सडक़ें,2,"28,32"
634,अपने-अपने,1,32
635,मन,11,"32,32,32,32,32,32,32,32,32,32,32"
636,बता,2,"32,51"
637,डालती,1,32
638,जितना,1,32
639,भावुक,2,"32,32"
640,प्यारा,1,32
641,अनजान,1,32
642,उतनी,1,32
644,कहा,1,32
645,इतने,1,32
646,दिनों,1,32
647,हम,1,32
648,जंगलों,1,32
649,मैदानों,1,32
650,घूम,1,32
651,जैसे-तैसे,1,32
652,नगर,1,32
653,तुम,1,32
654,कहते,1,32
655,इससे,1,32
656,बच,1,32
657,निकल,1,32
658,चलें,1,32
660,देखा,1,32
661,काले-काले,1,32
662,राक्षस,1,32
663,रक्षा,1,32
664,खड़े,1,32
665,डिब्बी,1,32
666,खोली,1,32
667,चुटकी,1,32
668,मुँह,1,32
669,डाल,1,32
671,देख,10,"32,32,32,32,32,32,32,32,32,32"
672,बाबा,9,"32,32,32,32,32,32,32,32,32"
673,राह,9,"32,32,32,32,32,32,32,32,32"
674,इतनी,9,"32,32,32,32,32,32,32,32,32"
675,देर,9,"32,32,32,32,32,32,32,32,32"
676,कैसे,9,"32,32,32,32,32,32,32,32,32"
677,गई,9,"32,32,32,32,32,32,32,32,32"
678,सोच,9,"32,32,32,32,32,32,32,32,32"
679,उठता,9,"32,32,32,32,32,32,32,32,32"
680,उन्होंने,9,"32,32,32,32,32,32,32,32,32"
681,कल्पनाएँ,2,"33,54"
682,बँधे-बँधाये,3,"33,36,40"
683,सोसायटियों,3,"33,40,53"
684,खिड़कियों,1,33
685,नौबत,1,33
686,मंत्रियों,1,34
687,ठेकेदार,3,"35,51,54"
688,रहस्यमय,2,"35,46"
689,ह्रदय,1,35
690,कतारें,1,41
691,प्रसार,1,42
694,सन्नाटा,2,"45,48"
703,विपण,1,50
704,मदनजी,2,"50,52"
705,किनारा,1,51
706,घुमेर,1,51
727,बँधाये,1,54
